,flight,points,lat,lon,alt,time,speed
61,fl0,61,52.10818181818182,-0.7166666666666667,242.89470291137695,48280,6.8237191115516715
62,fl0,62,52.109545454545454,-0.7166666666666667,240.63508224487305,48302,6.8237191115516715
63,fl0,63,52.11090909090909,-0.7188888888888889,239.23299026489258,48333,6.8237191115516715
64,fl0,64,52.11227272727273,-0.7188888888888889,237.45257568359375,48355,6.8237191115516715
65,fl0,65,52.11363636363637,-0.7211111111111111,237.10198974609375,48386,6.8237191115516715
66,fl0,66,52.115,-0.7211111111111111,235.64537811279297,48408,6.8237191115516715
67,fl0,67,52.11636363636364,-0.7211111111111111,232.15895080566406,48430,6.8237191115516715
68,fl0,68,52.11772727272727,-0.7233333333333334,219.08843994140625,48461,6.8237191115516715
69,fl0,69,52.119090909090914,-0.7233333333333334,211.08625030517578,48483,6.8237191115516715
70,fl0,70,52.12045454545455,-0.7255555555555555,215.9038314819336,48514,6.8237191115516715
71,fl0,71,52.121818181818185,-0.7255555555555555,221.02256774902344,48536,6.8237191115516715
72,fl0,72,52.12318181818182,-0.7255555555555555,226.4985580444336,48558,6.8237191115516715
73,fl0,73,52.124545454545455,-0.7277777777777779,233.72101593017578,48589,6.8237191115516715
74,fl0,74,52.124545454545455,-0.7277777777777779,183.72101593017578,48596,6.8237191115516715
75,fl0,75,52.124545454545455,-0.7277777777777779,133.72101593017578,48603,6.8237191115516715
76,fl0,76,52.124545454545455,-0.7277777777777779,83.72101593017578,48610,6.8237191115516715
77,fl0,77,52.124545454545455,-0.7277777777777779,33.72101593017578,48617,6.8237191115516715
78,fl1,0,52.07272727272727,-0.7633333333333333,27.575302124023438,44658,6.986393625305502
79,fl1,1,52.07272727272727,-0.7633333333333333,77.57530212402344,44665,6.986393625305502
80,fl1,2,52.07272727272727,-0.7633333333333333,127.57530212402344,44672,6.986393625305502
81,fl1,3,52.07272727272727,-0.7633333333333333,177.57530212402344,44679,6.986393625305502
82,fl1,4,52.07272727272727,-0.7633333333333333,227.57530212402344,44686,6.986393625305502
83,fl1,5,52.07409090909091,-0.7611111111111111,229.13886260986328,44717,6.986393625305502
84,fl1,6,52.07409090909091,-0.758888888888889,226.97117614746094,44739,6.986393625305502
85,fl1,7,52.07545454545455,-0.7566666666666667,235.16442108154297,44770,6.986393625305502
86,fl1,8,52.07681818181818,-0.7566666666666667,240.2770233154297,44792,6.986393625305502
87,fl1,9,52.07818181818182,-0.7544444444444445,233.3994369506836,44823,6.986393625305502
88,fl1,10,52.07954545454545,-0.7522222222222222,232.48655700683594,44854,6.986393625305502
89,fl1,11,52.08090909090909,-0.75,232.9598388671875,44885,6.986393625305502
90,fl1,12,52.08227272727273,-0.7477777777777778,229.70194244384766,44916,6.986393625305502
91,fl1,13,52.083636363636366,-0.7455555555555555,231.9221420288086,44947,6.986393625305502
92,fl1,14,52.085,-0.7433333333333334,231.39264678955078,44978,6.986393625305502
93,fl1,15,52.086363636363636,-0.741111111111111,233.08983612060547,45009,6.986393625305502
94,fl1,16,52.08772727272727,-0.7388888888888889,239.78874588012695,45040,6.986393625305502
95,fl1,17,52.08909090909091,-0.7366666666666667,242.64488220214844,45071,6.986393625305502
96,fl1,18,52.09045454545455,-0.7344444444444445,239.0305061340332,45102,6.986393625305502
97,fl1,19,52.091818181818184,-0.7322222222222222,238.72107315063477,45133,6.986393625305502
98,fl1,20,52.09318181818182,-0.73,239.67338180541992,45164,6.986393625305502
99,fl1,21,52.094545454545454,-0.7277777777777779,244.22361373901367,45195,6.986393625305502
100,fl1,22,52.09590909090909,-0.7255555555555555,242.20000076293945,45226,6.986393625305502
101,fl1,23,52.09727272727273,-0.7233333333333334,240.28371047973633,45257,6.986393625305502
102,fl1,24,52.098636363636366,-0.7211111111111111,240.49219512939453,45288,6.986393625305502
103,fl1,25,52.1,-0.7188888888888889,242.65314102172852,45319,6.986393625305502
104,fl1,26,52.098636363636366,-0.7166666666666667,242.6913948059082,45350,6.986393625305502
105,fl1,27,52.09727272727273,-0.7144444444444444,245.64281845092773,45381,6.986393625305502
106,fl1,28,52.09590909090909,-0.7122222222222222,243.72093200683594,45412,6.986393625305502
107,fl1,29,52.094545454545454,-0.71,247.05355072021484,45443,6.986393625305502
108,fl1,30,52.09318181818182,-0.7077777777777778,244.27406311035156,45474,6.986393625305502
109,fl1,31,52.091818181818184,-0.7055555555555556,244.99858474731445,45505,6.986393625305502
110,fl1,32,52.09045454545455,-0.7033333333333334,243.86342239379883,45536,6.986393625305502
111,fl1,33,52.08909090909091,-0.7011111111111111,242.80792617797852,45567,6.986393625305502
112,fl1,34,52.08772727272727,-0.6988888888888889,241.77873992919922,45598,6.986393625305502
113,fl1,35,52.086363636363636,-0.6966666666666667,241.59875869750977,45629,6.986393625305502
114,fl1,36,52.085,-0.6944444444444444,241.89429473876953,45660,6.986393625305502
115,fl1,37,52.083636363636366,-0.6922222222222223,238.23406219482422,45691,6.986393625305502
116,fl1,38,52.08227272727273,-0.6900000000000001,234.0883331298828,45722,6.986393625305502
117,fl1,39,52.08090909090909,-0.6877777777777778,228.6373062133789,45753,6.986393625305502
118,fl1,40,52.07954545454545,-0.6855555555555556,228.23784637451172,45784,6.986393625305502
119,fl1,41,52.07818181818182,-0.6833333333333333,229.0563507080078,45815,6.986393625305502
120,fl1,42,52.07681818181818,-0.6811111111111111,219.12920379638672,45846,6.986393625305502
121,fl1,43,52.07545454545455,-0.6788888888888889,214.98483276367188,45877,6.986393625305502
122,fl1,44,52.07409090909091,-0.6766666666666667,215.35494232177734,45908,6.986393625305502
123,fl1,45,52.07545454545455,-0.6744444444444444,214.99362182617188,45939,6.986393625305502
124,fl1,46,52.07409090909091,-0.6722222222222223,204.669921875,45970,6.986393625305502
125,fl1,47,52.07272727272727,-0.67,205.8999786376953,46001,6.986393625305502
126,fl1,48,52.071363636363635,-0.6677777777777778,213.60382080078125,46032,6.986393625305502
127,fl1,49,52.07,-0.6655555555555556,219.68900299072266,46063,6.986393625305502
128,fl1,50,52.068636363636365,-0.6633333333333333,220.41644287109375,46094,6.986393625305502
129,fl1,51,52.06727272727273,-0.6611111111111111,219.57120513916016,46125,6.986393625305502
130,fl1,52,52.06590909090909,-0.6588888888888889,220.26480102539062,46156,6.986393625305502
